name,logo_url,category,one_liner,description,milestones,year,location,country,status,status_detail,website,is_representative,id,created_date,updated_date,created_by_id,created_by,is_sample
"Ipswich Town FC","","Sports & Ecosystem","English football club","Placeholder description for Ipswich Town FC.","[""**Back-to-Back Promotions** From League One to Championship, and from Championship to the Premier League, the most valuable football league in the world"",""**Outsized Enterprise Growth** 6x+ increase in revenues and valuation since 2023"",""**World-Class Management** Focused on becoming an entrenched Premier League club in the next 5+ years"",""**Prominent Co-Investors** Include a prominent US Pension Fund, Avenue Capital Group, and ownership of the Florida Panthers""]","","","","","","","false","692541638aa5d5f2f2a1cf15","2025-11-25T05:40:51.052000","2025-11-26T15:55:53.653000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Spekit (acq. Cquence)","","Enterprise Technology","Digital adoption platform","Placeholder description for Spekit.","[]","","","","Acquired","Acquired by Cquence","","false","692541638aa5d5f2f2a1cf06","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Eight Sleep","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690aaad106503b5d0ca5a0fa/36a9d6eac_download28.png","Consumer & Content","Leading sleep-technology company","Eight Sleep is a leading sleep-technology company that pioneered the “Pod,” a smart mattress system that uses dynamic temperature control and real-time biometrics to improve sleep quality. Founded in 2014, the company has redefined sleep as a measurable, optimizable pillar of health—positioning itself at the forefront of high-performance wellness.","[]","","","","","","https://www.eightsleep.com/?srsltid=AfmBOop3TMondf7w9qpnvO66B92Y60Z9FebHYUrVmvEL1WgpkuWjzAzO","false","692541638aa5d5f2f2a1cf0f","2025-11-25T05:40:51.052000","2026-01-15T20:25:31.857000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"VoyceMe","","Consumer & Content","Content platform","Placeholder description for VoyceMe.","[]","","","","","","","false","692541638aa5d5f2f2a1cf14","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"VersusGame","","Sports & Ecosystem","Sports prediction platform","Placeholder description for VersusGame.","[]","","","","","","","false","692541638aa5d5f2f2a1cf10","2025-11-25T05:40:51.052000","2025-11-25T05:40:51.052000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Liquid Data (acq. TapRM)","","Enterprise Technology","Data analytics platform","Placeholder description for Liquid Data.","[]","","","","Acquired","Acquired by TapRM","","false","692541638aa5d5f2f2a1ceed","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Soil Connect","","Enterprise Technology","Soil marketplace platform","Placeholder description for Soil Connect.","[]","","","","","","","false","692541638aa5d5f2f2a1ceef","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Picture Proection Service","","Enterprise Technology","Protection services","Placeholder description for Picture Proection Service.","[]","","","","","","","false","692541638aa5d5f2f2a1cf01","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"BriefCatch","","Enterprise Technology","Legal writing software","Placeholder description for BriefCatch.","[]","","","","","","","false","692541638aa5d5f2f2a1cef6","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Balto","","Enterprise Technology","AI-powered sales coaching","Placeholder description for Balto.","[]","","","","","","","false","692541638aa5d5f2f2a1cef3","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Sion","","Enterprise Technology","Technology solutions","Placeholder description for Sion.","[]","","","","","","","false","692541638aa5d5f2f2a1ceee","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Ackwest","","Enterprise Technology","Business solutions","Placeholder description for Ackwest.","[]","","","","","","","false","692541638aa5d5f2f2a1cef1","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"BentoBox","","Enterprise Technology","Restaurant website platform","Placeholder description for BentoBox.","[]","","","","","","","false","692541638aa5d5f2f2a1cef4","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Cookie Finance","","Enterprise Technology","Financial technology","Placeholder description for Cookie Finance.","[]","","","","","","","false","692541638aa5d5f2f2a1cef9","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Headcount365","","Enterprise Technology","HR technology platform","Placeholder description for Headcount365.","[]","","","","","","","false","692541638aa5d5f2f2a1cefc","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Connexient","","Enterprise Technology","Indoor navigation platform","Placeholder description for Connexient.","[]","","","","","","","false","692541638aa5d5f2f2a1cefa","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Fermata Discovery","","Enterprise Technology","Discovery platform","Placeholder description for Fermata Discovery.","[]","","","","","","","false","692541638aa5d5f2f2a1cefb","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Ovation","","Enterprise Technology","Customer feedback platform","Placeholder description for Ovation.","[]","","","","","","","false","692541638aa5d5f2f2a1cf00","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Bite","","Consumer & Content","Consumer product company","Placeholder description for Bite.","[]","","","","","","","false","692541638aa5d5f2f2a1cef5","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Leal Health","","Enterprise Technology","Healthcare technology","Placeholder description for Leal Health.","[]","","","","","","","false","692541638aa5d5f2f2a1cefd","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"MutualMarkets","","Enterprise Technology","Financial marketplace","Placeholder description for MutualMarkets.","[]","","","","","","","false","692541638aa5d5f2f2a1cef0","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Aldoa","","Enterprise Technology","Technology platform","Placeholder description for Aldoa.","[]","","","","","","","false","692541638aa5d5f2f2a1cef2","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Cognota","","Enterprise Technology","Learning operations platform","Placeholder description for Cognota.","[]","","","","","","","false","692541638aa5d5f2f2a1cef8","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"ChargeitSpot","","Consumer & Content","Phone charging solutions","Placeholder description for ChargeitSpot.","[]","","","","","","","false","692541638aa5d5f2f2a1cef7","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Indify","","Consumer & Content","Music industry platform","Placeholder description for Indify.","[]","","","","","","","false","692541638aa5d5f2f2a1ceeb","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Moved","","Consumer & Content","Moving services platform","Placeholder description for Moved.","[]","","","","","","","false","692541638aa5d5f2f2a1ceff","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"LeafLink","","Enterprise Technology","Cannabis wholesale marketplace","Placeholder description for LeafLink.","[]","","","","","","","false","692541638aa5d5f2f2a1ceec","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Marpipe","","Enterprise Technology","Ad creative testing","Placeholder description for Marpipe.","[]","","","","","","","false","692541638aa5d5f2f2a1cefe","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Rally","","Consumer & Content","Alternative investments","Placeholder description for Rally.","[]","","","","","","","false","692541638aa5d5f2f2a1cf02","2025-11-25T05:40:51.051000","2025-11-25T05:40:51.051000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Ipswich Town Women's FC","","Sports & Ecosystem","Professional women's football club based in Suffolk, England","Building on the heritage of Ipswich Town FC, the women's team represents our commitment to developing excellence across all levels of the club. Through investment in infrastructure, coaching, and player development, we're creating a pathway to elite competition.","[]","2021","Ipswich, England","","","","https://www.itfc.co.uk/teams/womens","true","692497e590013491ebaec285","2025-11-24T17:37:41.941000","2025-11-24T17:37:41.941000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Eight Sleep","https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/690aaad106503b5d0ca5a0fa/36a9d6eac_download28.png","Enterprise Technology","Technology company revolutionizing sleep through smart temperature-controlled mattresses","Eight Sleep is a leading sleep-technology company that pioneered the “Pod,” a smart mattress system that uses dynamic temperature control and real-time biometrics to improve sleep quality. Founded in 2014, the company has redefined sleep as a measurable, optimizable pillar of health—positioning itself at the forefront of high-performance wellness.","[]","2023","New York, USA","","","","https://www.eightsleep.com","true","692497e590013491ebaec286","2025-11-24T17:37:41.941000","2025-12-12T15:15:37.874000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
"Ipswich Town FC","https://upload.wikimedia.org/wikipedia/en/4/43/Ipswich_Town.svg","Sports & Ecosystem","Football club based in Suffolk, England, promoted to the English Premier League in 2024","Founded in 1878, Ipswich Town FC is one of England's most storied football clubs with a rich heritage and passionate fanbase. Through strategic modernization and data-driven operations, the club is on its way towards becoming a sustainable Premier League competitor.","[""**Back-to-Back Promotions** From League One to Championship, and from Championship to the Premier League, the most valuable football league in the world"",""**Outsized Enterprise Growth** 6x+ increase in revenues and valuation since 2023"",""**World-Class Management** Focused on becoming an entrenched Premier League club in the next 5+ years"",""**Prominent Co-Investors** Include a prominent US Pension Fund, Avenue Capital Group, and ownership of the Florida Panthers""]","2021","Ipswich, England","","","","https://www.itfc.co.uk","true","692497e590013491ebaec284","2025-11-24T17:37:41.941000","2025-12-12T00:54:09.606000","690aaad106503b5d0ca5a0fb","hlandis@claravistapartners.com","false"
